text	class
Gustavo Petro, Sergio Fajardo y Humberto De la Calle, sumaron 9.800.000 votos, lo que constituyó más del 55% de la votación. http://bit.ly/2J1kS59    	0
Gustavo Petro, Sergio Fajardo y Humberto De la Calle, sumaron 9.800.000 votos, lo que constituyó más del 55% de la votación. http://bit.ly/2J1kS59    	0
¿Ya les dije cuanto adoro el veneno estilizado de Jorge Robledo, Claudia López, Humberto de la Calle, Sergio Fajardo y sobretodo, de Gustavo Petro?    	1
#DatosSanJerónimo Votación total. Iván Duque - 4226v Sergio Fajardo - 1033v Vargas Lleras - 474v Gustavo Petro - 240v De la Calle - 68v Promotor VB - 11v Jorge Trujillo - 8v Viviane M - 5v V. en Blanco - 107v V. No marcados - 94v V. Nulos - 25v Total votos - 6.291 Votos    	0
Carlos Caicedo volvió a pedirles a Gustavo Petro, Sergio Fajardo y Humberto De La Calle que consoliden la alianza. @HoyDiarioMag http://www.hoydiariodelmagdalena.com.co/new/archivos/95190 …    	0
Ni Fajardo, Ni Gustavo Petro y Ni Humberto de la Calle presionan a los empleados públicos a ser parte de maquinarias. No somo BORREGOS como lo quieren hacer ver, somos votos libres de presión política, somos votos de opinión y convicción. #PrimeroElPais    	1
Y ahora quieren mostrar a Fajardo como el promotor del NiNi sin tener en cuenta éste contexto. Ni Sergio Fajardo, Ni Gustavo Petro y Ni Humberto de la Calle usaron a la ciudadanía como borregos para alcanzar votos.    	0
Gustavo Petro y Su Fórmula Vicepresidencial, debe analizar y concretar lo FUNDAMENTAL de los demás candidatos comprometidos con la paz, Fajardo y Humberto De La Calle, sobre sus puntos diferenciales, para presentar un programa alternativo de INCLUSIÓN, donde GANE TODO EL PAÍS.    	1
En este post primera vuelta de #EleccionesPresidenciales2018 ahora pasamos de ver publicidad política de Fajardo, Petro, Duque, Vargas y De La Calle por ver a @FALCAO en comerciales de Alpina, Claro, Nike, Gatorade, Papas Margarita... Lo lindo de mi Colombia!    	0
A Gustavo Petro y Ángela Robledo Yo, Martina Aldana, quiero que incluyan los mejores ideas de los programas de Sergio Fajardo y Humberto de la Calle al proyecto de gobierno que se votará en segunda vuelta @petrogustavo @angelamrobledo @GustavoBolivar @MafeCarrascal    	1
Hay tres tipos de colombianos: 1. Te identificas con quien como servidor público ha demostrado que su interés principal es luchar por la defensa de los más vulnerables y de una verdadera justicia social (Gustavo Petro, Sergio Fajardo, Humberto de la Calle)    	1
Mensaje para Gustavo Petro, Sergio Fajardo y Humberto de la Calle. Soy Vera Grabe, Ex M-19 y hoy dedicada a la paz en la educación. Y no voté por Petro, a pesar de regaños y burlas de los que esperaban que me... https://www.facebook.com/fernand0rtiz/posts/10156633777119728 …    	0
Amigos y familiares, desde la distancia los invito a no enemistarse y sin miedo y juntos elegir a Gustavo Petro. Quiénes votaron por Fajardo o de la Calle, sigan el camino coherente. Y aquellos que dieron su voto a Duque, tienen otra oportunidad de ejecutar ese cambio.    	1
Para poder crecer como sociedad todos los que queremos un cambio y que antes de la primera vuelta lo dije solo habían tres candidatos que para mí lo representaban Don Humberto de la calle, Gustavo Petro y el profe Sergio Fajardo sin ningún orden en especial.........    	0
Más de $95.500 millones en reposición de votos Iván Duque: $42.587.000.000 Gustavo Petro: $27.288.000.000 Sergio Fajardo: $25.816.000.000 Humberto de la Calle: -$3.932.000.000 ($1.500.000.000 de crédito personal) https://www.asuntoslegales.com.co/actualidad/mas-de-95500-millones-en-reposicion-de-votos-2732746 … vía @AsuLegalesLR    	0
Sumados votos de quienes tuvieron un discurso más social en Colombia, Gustavo Petro, Sergio Fajardo y Humberto de la Calle, tenemos que 9.835.729 electores desean un cambio.Sumados estos votos Duque sería derrotado pero no es fácil trastear votos de Fajardo y De la Calle a Petro.    	1
Presidente: Duque. Ministro Educación: Fajardo. Ministro de Infraestructura: Vargas Lleras. Ministro del Posconflicto: De la Calle. Ministro de Hacienda: Robledo. Embajador en Venezuela: Petro. Se vale soñar. #ColombiaDecide #EleccionesColombia    	0
No nos peleemos más los que votamos por Gustavo Petro, por Sergio Fajardo o por Humberto de la Calle, unámonos y ya, no creo poder soportar esta incertidumbre.    	1
"""A quienes votaron por Sergio Fajardo y Humberto De La Calle y a quienes votaron en blanco y a quienes no votaron: recuerden que un gobierno de Gustavo Petro puede ser un gobierno de todos. Negocien con él. El... https://www.facebook.com/cyborg1919/posts/10156439777879727 …"    	1
Retweeted RCN Radio ( @rcnradio): #ColombiaElige2018 Boletín No° 48 I. Duque: 7.567.448 Gustavo Petro: 4.850.549 S. Fajardo: 4.584.423 Germán Vargas Lleras:1.407.584 Humberto de La Calle: 399.109 Promotores... https://www.facebook.com/gustavoteneche/posts/10155601454740954 …    	1
Ya estamos acá reunidos de las campañas de Humberto de la Calle, de Gustavo Petro y de Sergio Fajardo hablando de reconciliación y construcción para afrontar el inminente ascenso del Uribismo al poder. pic.twitter.com/GfB00ZklLK    	0
*CANDIDATOS DEL PUEBLO* *Gustavo Petro 25,10%* *Sergio Fajardo 23,77%* *Humberto de la Calle 2,06%* *TOTAL 50,83%* CANDIDATOS DE EXTREMA DERECHA Iván Duque 39,11% German Vargas 7,26% Viviane Morales 0,21% Total 46,58% *EL PUEBLO ELIJE*    	0
"""Si se suman los votos de Gustavo Petro, Sergio Fajardo, Humberto de la Calle y Germán Vargas Lleras, que defienden este acuerdo, representan el 60 % de los votantes http://www.elpais.com.co/elecciones/elecciones-presidenciales/la-gran-ganadora-en-estas-elecciones-fue-la-paz-santos.html …"    	0
#Resultados finales: En Cartago Valle gano Ivan Duque con 24.317 VOTOS, 43,00% Sergio Fajardo : 20.058 VOTOS, 35,47% Gustavo Petro : 6.966 VOTOS, 12,31% German Vargas Lleras : 2.908 VOTOS,5,14% Humberto de la Calle... https://www.facebook.com/elcartagazo/posts/2250352114991726 …    	1
"""A quienes votaron por Sergio Fajardo y Humberto De La Calle y a quienes votaron en blanco y a quienes no votaron: recuerden que un gobierno de Gustavo Petro puede ser un gobierno de todos. Negocien con él. El... https://www.facebook.com/BrayanRodBajo/posts/1964404303579568 …"    	1
Estoy de acuerdo con el programa de Fajardo y Humberto de la calle. Si se unen a Duque estarían apoyando el no cambio a una sociedad más Democrática y justa. Si apoyan a Gustavo Petro sería un respaldo al cambio que quiere y desean los colombianos después de 50 años de lo mismo.    	1
Segio Fajardo tomo la peor decisión al no unirse a Humberto de la Calle y ahora la vuelve a tomar al no apoyar a Gustavo Petro.    	1
Si humanos y elfos se unieron para derrotar a Sauron, ¿no vamos a poder los de Petro, Fajardo y de la Calle contra Duque-Uribe? #LaUltimaAlianza #EleccionesColombia #GraciasProfe pero ya juntémonos.https://youtu.be/P2ObevJxCoo    	1
Colombie : élection présidentielle: Les résultats du premier tour : Participation : 53,38% Iván Duque : 39,14% Gustavo Petro : 25,08% Sergio Fajardo : 23,73% Germán Vargas Lleras : 7,28% Umberto De La Calle : 2,06% Jorge Antonio Trujillo Sarment : 0,39%… http://dlvr.it/QVP6Nt pic.twitter.com/Ici7kzIdZQ    	0
Colombia - Participación: 53.38% - Iván Duque: 7.569.693 - 39,14% - Gustavo Petro: 4.851.254 - 25,08% - Sergio Fajardo: 4.589.696 - 23,73% - Germán Vargas Lleras: 1.407.840 - 7,28% - Humberto de la Calle: 399.180 - 2,06% - Jorge Trujillo: 75.614 - 0,39% - Blanco: 60.312 - 0,31%    	0
Revisando los comisios electorales en los cuales Fajardo obtuvo en promedio 4.5 millones de votos Vargas Lleras 1.7 De la calle 0.3 y DUQUE 7.5 lo cuál da un promedio de 15 millones. La pregunta essería que nos equivocamos quince millones por no votar por Gustavo Petro.    	1
Los maestros de Bogotá, pedimos unir esfuerzos para ganar la presidencia de la Republica con Gustavo Petro, en medio de la diferencia hacemos un llamado a Sergio Fajardo, Humberto de Calle, Clara Lopez y Claudia Lopez a construir una amplia coalición.    	1
Eleições colombianas : Iván Duque: 7.569.693 votos (39,14%)- 2º turno Gustavo Petro: 4.851.254 votos ( 25,09%)- 2º turno Sérgio Fajardo: 4.589.696 votos (23,73%) German Vargas Lleras: 1.407.840 votos (7,28%) Humberto de la Calle: 399.180 votos (2,06%)    	0
Si a la #Democracia #Participar... hoy conversación interesante en programa radial #EleccionesPresidencia2018 #Colombia Fajardo Iván Duque Gustavo Petro Humberto De La Calle El País Cali ADN... https://www.facebook.com/permalink.php?story_fbid=1968550969823046&id=412748508736641 …    	0
#AlAire en #ColombiaAlAire En #Bucaramanga, los votos quedaron repartidos de la siguiente manera: Iván Duque - 119 mil 717. Sergio Fajardo - 107 mil 677. Gustavo Petro- 43 mil 817 Germán Vargas Lleras - 17 mil 592 y Humberto de La Calle - 6 mil 27 pic.twitter.com/tsql6i04nE    	0
